G,oppAVG,PA,oppOPS,TEAM,SLG,AB,GS,VORP,IP
42,0.254,217,0.714,KCA,0.444,187,0,-1.4,51.0
12,0.25,143,0.704,CHN,0.464,112,4,1.4,28.7
73,0.257,288,0.734,DET,0.432,259,0,7.9,71.0
30,0.255,772,0.717,CHA,0.37,711,29,35.0,192.0
27,0.248,126,0.721,TOR,0.389,108,0,7.2,29.3
26,0.25,152,0.712,CLE,0.462,132,0,2.1,35.3
55,0.25,203,0.723,TBA,0.383,175,0,-1.0,50.3
17,0.259,58,0.735,PIT,0.333,54,0,1.7,13.7
33,0.251,888,0.708,CIN,0.366,815,33,24.1,217.0
12,0.256,148,0.726,KCA,0.427,131,2,0.8,34.7
17,0.253,277,0.724,BOS,0.448,221,10,-5.5,59.3
20,0.25,493,0.7,NYN,0.459,442,20,16.3,115.0
1,0.286,2,0.852,PIT,4.0,1,0,-1.7,0.0
11,0.252,215,0.721,BOS,0.561,189,11,-3.7,45.7
1,0.211,5,0.581,NYN,1.5,4,0,-0.1,0.3
16,0.256,377,0.725,HOU,0.462,325,16,-9.7,85.3
5,0.264,24,0.777,ATL,0.409,22,0,-0.4,6.0
30,0.255,148,0.721,OAK,0.353,136,0,4.7,35.3
16,0.252,82,0.722,SLN,0.375,72,0,-0.6,18.7
