IP,PA,LG,SLG,LVL,oppRPA+,oppOPS,PPF,NAME,oppAVG
10.0,37,NL,0.258,MLB,97,0.702,98,Justin Hampson,0.247
32.3,144,NL,0.416,MLB,96,0.704,95,Miles Mikolas,0.255
9.3,42,AL,0.583,MLB,104,0.747,103,Tommy Hottovy,0.261
72.0,305,NL,0.393,MLB,101,0.722,108,Francisco Rodriguez,0.257
103.7,424,NL,0.393,MLB,98,0.713,101,Matt Garza,0.252
1.0,5,NL,0.6,MLB,100,0.693,105,Joe Martinez,0.262
71.3,317,AL,0.451,MLB,104,0.743,106,Kyle Drabek,0.259
67.0,289,AL,0.331,MLB,103,0.735,102,Greg Holland,0.26
29.0,113,NL,0.283,MLB,103,0.732,107,Wily Peralta,0.258
4.0,24,AL,0.591,MLB,91,0.667,107,Thad Weber,0.237
60.7,248,AL,0.348,MLB,98,0.715,102,David Robertson,0.248
63.7,242,AL,0.323,MLB,100,0.725,107,Casey Janssen,0.251
181.3,751,AL,0.358,MLB,108,0.751,96,Jarrod Parker,0.264
40.7,185,NL,0.5,MLB,101,0.72,119,Josh Outman,0.257
53.3,270,AL,0.512,MLB,102,0.739,102,Jonathan Sanchez,0.261
195.7,805,NL,0.388,MLB,98,0.712,101,Jordan Zimmermann,0.254
25.0,105,NL,0.427,MLB,97,0.715,101,Edgar Gonzalez,0.253
171.0,728,NL,0.418,MLB,98,0.717,96,Kevin Correia,0.255
71.7,301,AL,0.351,MLB,101,0.729,107,Nate Jones,0.26
29.0,126,AL,0.358,MLB,102,0.733,99,Cody Allen,0.256
34.3,148,NL,0.422,MLB,90,0.686,93,Jeff Locke,0.241
21.7,89,AL,0.311,MLB,109,0.747,94,Pedro Figueroa,0.262
5.0,22,NL,0.526,MLB,95,0.663,89,Dustin Moseley,0.244
5.0,29,AL,0.632,MLB,119,0.798,91,Bobby Cassevah,0.273
170.3,748,AL,0.511,MLB,103,0.732,102,Ivan Nova,0.253
21.0,98,AL,0.524,MLB,101,0.715,87,Graham Godfrey,0.253
58.7,256,NL,0.386,MLB,102,0.732,99,Fernando Salas,0.259
17.7,86,NL,0.556,MLB,97,0.705,99,Jeff Beliveau,0.247
65.0,252,NL,0.274,MLB,102,0.729,94,Kenley Jansen,0.259
